color,X,Y
blue,2.91536491804973,-15.378144172832107
blue,0.8600786464622895,-13.28723173315094
blue,-0.26156294852406176,-10.524331035054347
blue,-0.9327715217146851,-7.614691899092637
blue,-1.3118391914536238,-4.65211021371851
blue,-1.4746599882084466,-1.6686962424921086
blue,-1.5000000000000004,1.3194309471400762
blue,-1.4904670351999185,4.307727021747958
blue,-1.5483546279752893,7.295136649589832
blue,-1.8165791369009474,10.269608746181072
blue,-2.5148208003526107,13.169402902416874
blue,-3.9861274239804905,15.752172756496913
blue,-6.262395756808742,17.66268690517502
blue,-8.930021993790856,19.00272702333261
blue,-11.718317896341201,20.07628591801501
blue,-14.543929083628147,21.048871235251074
blue,-17.357284589311366,22.05575487624154
blue,-20.10782861491785,23.22007073088123
blue,-22.69258325038488,24.711374323779353
blue,-24.85651078836192,26.757791223462114
blue,-26.120774025881754,29.44543241051065
blue,-26.29176976946933,32.41610192212695
blue,-25.771134787961227,35.352642189535956
blue,-24.865855044122537,38.19853579975988
blue,-23.714310224555724,40.95530093855784
blue,-22.371524358645928,43.62383946504422
blue,-20.85618376451201,46.19867025861
blue,-19.14097966483134,48.64476071909544
blue,-17.235014979927737,50.94415442517903
blue,-15.1118218464008,53.04423476117401
blue,-12.729411806490933,54.84410577042317
blue,-10.058637341489463,56.17385345447167
blue,-7.14048072888344,56.77149018994969
blue,-4.188534986491856,56.38706418292839
blue,-1.4557893129981643,55.192754861802726
blue,1.0288810747198314,53.53632717064016
blue,3.343107325589681,51.6464696961813
blue,5.569864663886417,49.6536630089169
blue,7.785389209314562,47.64832181379576
blue,10.047252147989992,45.69584456546548
blue,12.407549380758386,43.86444876691608
blue,14.917459139941768,42.24490919468192
blue,17.64715653706907,41.04346433372535
blue,20.571064387061845,41.03140914311915
blue,22.914128722713755,42.84691798021031
blue,24.779704794436856,45.17964403463819
blue,26.543120514542583,47.592163527910266
blue,28.364028355938135,49.96112059711363
blue,30.324523827009372,52.215698969724315
blue,32.39540838477497,54.36949576635232
blue,34.57437689233466,56.41398400347278
blue,36.83664587474782,58.36593833233365
blue,39.17116146860741,60.2310155377965
blue,41.58412919095937,61.993406885054455
blue,44.06259673909481,63.66232617224354
